Question,Marks,Difficulty,Subject,Topic
Analyze the importance of Reasoning Systems,10,Hard,AI,Reasoning Systems
What is Knowledge Representation,2,Easy,AI,Knowledge Representation
Discuss advantages and limitations of Knowledge Representation,10,Hard,AI,Knowledge Representation
What is Game Playing,2,Easy,AI,Game Playing
Analyze real-world applications of Game Playing,10,Hard,AI,Game Playing
What is Genetic Algorithms,2,Easy,AI,Genetic Algorithms
Explain Genetic Algorithms in detail,10,Hard,AI,Genetic Algorithms
What is AI Ethics,2,Easy,AI,AI Ethics
Describe the working of AI Ethics,10,Hard,AI,AI Ethics
What is Neural Networks,2,Easy,AI,Neural Networks
Compare different approaches in Neural Networks,10,Hard,AI,Neural Networks
State the features of Robotics,2,Easy,AI,Robotics
Explain Robotics in detail,10,Hard,AI,Robotics
What is Game Playing,2,Easy,AI,Game Playing
Discuss advantages and limitations of Game Playing,10,Hard,AI,Game Playing
List the applications of Natural Language Processing,2,Easy,AI,Natural Language Processing
Discuss advantages and limitations of Natural Language Processing,10,Hard,AI,Natural Language Processing
State the features of Reasoning Systems,2,Easy,AI,Reasoning Systems
Explain challenges in Reasoning Systems,10,Hard,AI,Reasoning Systems
State the features of Search Algorithms,2,Easy,AI,Search Algorithms
Analyze the importance of Search Algorithms,10,Hard,AI,Search Algorithms
What is Computer Vision,2,Easy,AI,Computer Vision
Evaluate the performance of Computer Vision,10,Hard,AI,Computer Vision
State the features of Natural Language Processing,2,Easy,AI,Natural Language Processing
Analyze real-world applications of Natural Language Processing,10,Hard,AI,Natural Language Processing
List the applications of Planning Systems,2,Easy,AI,Planning Systems
Justify the need for Planning Systems,10,Hard,AI,Planning Systems
Define Inference Systems,2,Easy,AI,Inference Systems
Describe the working of Inference Systems,10,Hard,AI,Inference Systems
Name the advantages of Natural Language Processing,2,Easy,AI,Natural Language Processing
Compare different approaches in Natural Language Processing,10,Hard,AI,Natural Language Processing
List the applications of Genetic Algorithms,2,Easy,AI,Genetic Algorithms
Analyze real-world applications of Genetic Algorithms,10,Hard,AI,Genetic Algorithms
What is Knowledge Representation,2,Easy,AI,Knowledge Representation
Justify the need for Knowledge Representation,10,Hard,AI,Knowledge Representation
State the features of Game Playing,2,Easy,AI,Game Playing
Justify the need for Game Playing,10,Hard,AI,Game Playing
Define Natural Language Processing,2,Easy,AI,Natural Language Processing
Explain challenges in Natural Language Processing,10,Hard,AI,Natural Language Processing
List the applications of Natural Language Processing,2,Easy,AI,Natural Language Processing
Explain Natural Language Processing in detail,10,Hard,AI,Natural Language Processing
State the features of Knowledge Representation,2,Easy,AI,Knowledge Representation
Discuss advantages and limitations of Knowledge Representation,10,Hard,AI,Knowledge Representation
Name the advantages of AI Ethics,2,Easy,AI,AI Ethics
Compare different approaches in AI Ethics,10,Hard,AI,AI Ethics
Define Expert Systems,2,Easy,AI,Expert Systems
Discuss the architecture of Expert Systems,10,Hard,AI,Expert Systems
List the applications of Computer Vision,2,Easy,AI,Computer Vision
Analyze the importance of Computer Vision,10,Hard,AI,Computer Vision
List the applications of Intelligent Agents,2,Easy,AI,Intelligent Agents
Explain challenges in Intelligent Agents,10,Hard,AI,Intelligent Agents
List the applications of Knowledge Representation,2,Easy,AI,Knowledge Representation
Discuss the architecture of Knowledge Representation,10,Hard,AI,Knowledge Representation
What is Deep Learning,2,Easy,AI,Deep Learning
Analyze real-world applications of Deep Learning,10,Hard,AI,Deep Learning
What is Constraint Satisfaction,2,Easy,AI,Constraint Satisfaction
Compare different approaches in Constraint Satisfaction,10,Hard,AI,Constraint Satisfaction
List the applications of Knowledge Representation,2,Easy,AI,Knowledge Representation
Discuss advantages and limitations of Knowledge Representation,10,Hard,AI,Knowledge Representation
Define Genetic Algorithms,2,Easy,AI,Genetic Algorithms
Explain Genetic Algorithms in detail,10,Hard,AI,Genetic Algorithms
State the features of Neural Networks,2,Easy,AI,Neural Networks
Discuss the architecture of Neural Networks,10,Hard,AI,Neural Networks
List the applications of Inference Systems,2,Easy,AI,Inference Systems
Discuss advantages and limitations of Inference Systems,10,Hard,AI,Inference Systems
What is Applications of AI,2,Easy,AI,Applications of AI
Compare different approaches in Applications of AI,10,Hard,AI,Applications of AI
Define Planning Systems,2,Easy,AI,Planning Systems
Discuss advantages and limitations of Planning Systems,10,Hard,AI,Planning Systems
Define Genetic Algorithms,2,Easy,AI,Genetic Algorithms
Evaluate the performance of Genetic Algorithms,10,Hard,AI,Genetic Algorithms
List the applications of Machine Perception,2,Easy,AI,Machine Perception
Analyze real-world applications of Machine Perception,10,Hard,AI,Machine Perception
State the features of Robotics,2,Easy,AI,Robotics
Justify the need for Robotics,10,Hard,AI,Robotics
What is Artificial Intelligence,2,Easy,AI,Artificial Intelligence
Explain challenges in Artificial Intelligence,10,Hard,AI,Artificial Intelligence
State the features of Natural Language Processing,2,Easy,AI,Natural Language Processing
Discuss advantages and limitations of Natural Language Processing,10,Hard,AI,Natural Language Processing
Name the advantages of Neural Networks,2,Easy,AI,Neural Networks
Analyze real-world applications of Neural Networks,10,Hard,AI,Neural Networks
State the features of Planning Systems,2,Easy,AI,Planning Systems
Describe the working of Planning Systems,10,Hard,AI,Planning Systems
Name the advantages of Natural Language Processing,2,Easy,AI,Natural Language Processing
Explain Natural Language Processing in detail,10,Hard,AI,Natural Language Processing
Name the advantages of Deep Learning,2,Easy,AI,Deep Learning
Evaluate the performance of Deep Learning,10,Hard,AI,Deep Learning
State the features of Reasoning Systems,2,Easy,AI,Reasoning Systems
Analyze the importance of Reasoning Systems,10,Hard,AI,Reasoning Systems
Define Knowledge Representation,2,Easy,AI,Knowledge Representation
Explain challenges in Knowledge Representation,10,Hard,AI,Knowledge Representation
List the applications of Expert Systems,2,Easy,AI,Expert Systems
Discuss the architecture of Expert Systems,10,Hard,AI,Expert Systems
Name the advantages of Planning Systems,2,Easy,AI,Planning Systems
Describe the working of Planning Systems,10,Hard,AI,Planning Systems
What is Intelligent Agents,2,Easy,AI,Intelligent Agents
Discuss the architecture of Intelligent Agents,10,Hard,AI,Intelligent Agents
State the features of SVM,2,Easy,ML,SVM
Analyze real-world applications of SVM,10,Hard,ML,SVM
Name the advantages of Underfitting,2,Easy,ML,Underfitting
Evaluate the performance of Underfitting,10,Hard,ML,Underfitting
State the features of Naive Bayes,2,Easy,ML,Naive Bayes
Analyze the importance of Naive Bayes,10,Hard,ML,Naive Bayes
State the features of Decision Trees,2,Easy,ML,Decision Trees
Explain challenges in Decision Trees,10,Hard,ML,Decision Trees
List the applications of Random Forest,2,Easy,ML,Random Forest
Analyze real-world applications of Random Forest,10,Hard,ML,Random Forest
Define Overfitting,2,Easy,ML,Overfitting
Analyze the importance of Overfitting,10,Hard,ML,Overfitting
State the features of Classification,2,Easy,ML,Classification
Describe the working of Classification,10,Hard,ML,Classification
Name the advantages of Feature Selection,2,Easy,ML,Feature Selection
Justify the need for Feature Selection,10,Hard,ML,Feature Selection
Define Feature Selection,2,Easy,ML,Feature Selection
Explain challenges in Feature Selection,10,Hard,ML,Feature Selection
State the features of Random Forest,2,Easy,ML,Random Forest
Explain Random Forest in detail,10,Hard,ML,Random Forest
List the applications of Supervised Learning,2,Easy,ML,Supervised Learning
Discuss the architecture of Supervised Learning,10,Hard,ML,Supervised Learning
List the applications of Deep Learning,2,Easy,ML,Deep Learning
Discuss advantages and limitations of Deep Learning,10,Hard,ML,Deep Learning
Define Ensemble Learning,2,Easy,ML,Ensemble Learning
Evaluate the performance of Ensemble Learning,10,Hard,ML,Ensemble Learning
What is Decision Trees,2,Easy,ML,Decision Trees
Discuss advantages and limitations of Decision Trees,10,Hard,ML,Decision Trees
Define Decision Trees,2,Easy,ML,Decision Trees
Justify the need for Decision Trees,10,Hard,ML,Decision Trees
List the applications of Reinforcement Learning,2,Easy,ML,Reinforcement Learning
Discuss the architecture of Reinforcement Learning,10,Hard,ML,Reinforcement Learning
What is Cross Validation,2,Easy,ML,Cross Validation
Describe the working of Cross Validation,10,Hard,ML,Cross Validation
Name the advantages of Model Evaluation,2,Easy,ML,Model Evaluation
Compare different approaches in Model Evaluation,10,Hard,ML,Model Evaluation
Name the advantages of Cross Validation,2,Easy,ML,Cross Validation
Discuss advantages and limitations of Cross Validation,10,Hard,ML,Cross Validation
Define Neural Networks,2,Easy,ML,Neural Networks
Describe the working of Neural Networks,10,Hard,ML,Neural Networks
What is Neural Networks,2,Easy,ML,Neural Networks
Describe the working of Neural Networks,10,Hard,ML,Neural Networks
List the applications of Supervised Learning,2,Easy,ML,Supervised Learning
Analyze real-world applications of Supervised Learning,10,Hard,ML,Supervised Learning
What is SVM,2,Easy,ML,SVM
Analyze the importance of SVM,10,Hard,ML,SVM
Name the advantages of Classification,2,Easy,ML,Classification
Analyze the importance of Classification,10,Hard,ML,Classification
Define Machine Learning,2,Easy,ML,Machine Learning
Explain challenges in Machine Learning,10,Hard,ML,Machine Learning
Name the advantages of Model Evaluation,2,Easy,ML,Model Evaluation
Analyze the importance of Model Evaluation,10,Hard,ML,Model Evaluation
State the features of Random Forest,2,Easy,ML,Random Forest
Explain challenges in Random Forest,10,Hard,ML,Random Forest
State the features of Classification,2,Easy,ML,Classification
Discuss advantages and limitations of Classification,10,Hard,ML,Classification
What is KNN,2,Easy,ML,KNN
Describe the working of KNN,10,Hard,ML,KNN
List the applications of Underfitting,2,Easy,ML,Underfitting
Compare different approaches in Underfitting,10,Hard,ML,Underfitting
List the applications of Naive Bayes,2,Easy,ML,Naive Bayes
Explain Naive Bayes in detail,10,Hard,ML,Naive Bayes
State the features of Feature Selection,2,Easy,ML,Feature Selection
Compare different approaches in Feature Selection,10,Hard,ML,Feature Selection
State the features of Supervised Learning,2,Easy,ML,Supervised Learning
Justify the need for Supervised Learning,10,Hard,ML,Supervised Learning
State the features of Machine Learning,2,Easy,ML,Machine Learning
Explain challenges in Machine Learning,10,Hard,ML,Machine Learning
State the features of SVM,2,Easy,ML,SVM
Analyze the importance of SVM,10,Hard,ML,SVM
State the features of Clustering,2,Easy,ML,Clustering
Compare different approaches in Clustering,10,Hard,ML,Clustering
Define Cross Validation,2,Easy,ML,Cross Validation
Discuss the architecture of Cross Validation,10,Hard,ML,Cross Validation
Name the advantages of Machine Learning,2,Easy,ML,Machine Learning
Describe the working of Machine Learning,10,Hard,ML,Machine Learning
State the features of KNN,2,Easy,ML,KNN
Discuss advantages and limitations of KNN,10,Hard,ML,KNN
What is Regression,2,Easy,ML,Regression
Explain Regression in detail,10,Hard,ML,Regression
State the features of SVM,2,Easy,ML,SVM
Justify the need for SVM,10,Hard,ML,SVM
State the features of Deep Learning,2,Easy,ML,Deep Learning
Analyze the importance of Deep Learning,10,Hard,ML,Deep Learning
Name the advantages of Regression,2,Easy,ML,Regression
Compare different approaches in Regression,10,Hard,ML,Regression
Name the advantages of Machine Learning,2,Easy,ML,Machine Learning
Analyze real-world applications of Machine Learning,10,Hard,ML,Machine Learning
Define Naive Bayes,2,Easy,ML,Naive Bayes
Justify the need for Naive Bayes,10,Hard,ML,Naive Bayes
What is Deep Learning,2,Easy,ML,Deep Learning
Discuss advantages and limitations of Deep Learning,10,Hard,ML,Deep Learning
State the features of Supervised Learning,2,Easy,ML,Supervised Learning
Explain Supervised Learning in detail,10,Hard,ML,Supervised Learning
List the applications of Regression,2,Easy,ML,Regression
Justify the need for Regression,10,Hard,ML,Regression
Define Regression,2,Easy,ML,Regression
Discuss the architecture of Regression,10,Hard,ML,Regression
State the features of Machine Learning,2,Easy,ML,Machine Learning
Analyze real-world applications of Machine Learning,10,Hard,ML,Machine Learning
List the applications of Machine Learning,2,Easy,ML,Machine Learning
Describe the working of Machine Learning,10,Hard,ML,Machine Learning
List the applications of Overfitting,2,Easy,ML,Overfitting
Compare different approaches in Overfitting,10,Hard,ML,Overfitting
Name the advantages of Ensemble Learning,2,Easy,ML,Ensemble Learning
Analyze real-world applications of Ensemble Learning,10,Hard,ML,Ensemble Learning
What is Supervised Learning,2,Easy,ML,Supervised Learning
Discuss the architecture of Supervised Learning,10,Hard,ML,Supervised Learning
Define Unsupervised Learning,2,Easy,ML,Unsupervised Learning
Analyze the importance of Unsupervised Learning,10,Hard,ML,Unsupervised Learning
What is Classification,2,Easy,ML,Classification
Discuss the architecture of Classification,10,Hard,ML,Classification
List the applications of Feature Selection,2,Easy,ML,Feature Selection
Evaluate the performance of Feature Selection,10,Hard,ML,Feature Selection
State the features of Decision Trees,2,Easy,ML,Decision Trees
Discuss the architecture of Decision Trees,10,Hard,ML,Decision Trees
List the applications of KNN,2,Easy,ML,KNN
Justify the need for KNN,10,Hard,ML,KNN
What is Model Evaluation,2,Easy,ML,Model Evaluation
Compare different approaches in Model Evaluation,10,Hard,ML,Model Evaluation
Name the advantages of Ensemble Learning,2,Easy,ML,Ensemble Learning
Discuss advantages and limitations of Ensemble Learning,10,Hard,ML,Ensemble Learning
Name the advantages of Unsupervised Learning,2,Easy,ML,Unsupervised Learning
Discuss advantages and limitations of Unsupervised Learning,10,Hard,ML,Unsupervised Learning
State the features of Random Forest,2,Easy,ML,Random Forest
Analyze the importance of Random Forest,10,Hard,ML,Random Forest
List the applications of Unsupervised Learning,2,Easy,ML,Unsupervised Learning
Explain challenges in Unsupervised Learning,10,Hard,ML,Unsupervised Learning
Define Machine Learning,2,Easy,ML,Machine Learning
Justify the need for Machine Learning,10,Hard,ML,Machine Learning
Define Neural Networks,2,Easy,ML,Neural Networks
Discuss the architecture of Neural Networks,10,Hard,ML,Neural Networks
Name the advantages of Underfitting,2,Easy,ML,Underfitting
Explain challenges in Underfitting,10,Hard,ML,Underfitting
List the applications of SVM,2,Easy,ML,SVM
Explain SVM in detail,10,Hard,ML,SVM
Define SVM,2,Easy,ML,SVM
Explain challenges in SVM,10,Hard,ML,SVM
Name the advantages of Neural Networks,2,Easy,ML,Neural Networks
Justify the need for Neural Networks,10,Hard,ML,Neural Networks
Define Model Evaluation,2,Easy,ML,Model Evaluation
Discuss the architecture of Model Evaluation,10,Hard,ML,Model Evaluation
Define Random Forest,2,Easy,ML,Random Forest
Describe the working of Random Forest,10,Hard,ML,Random Forest
What is Random Forest,2,Easy,ML,Random Forest
Compare different approaches in Random Forest,10,Hard,ML,Random Forest
Define Clustering,2,Easy,ML,Clustering
Compare different approaches in Clustering,10,Hard,ML,Clustering
Name the advantages of Ensemble Learning,2,Easy,ML,Ensemble Learning
Describe the working of Ensemble Learning,10,Hard,ML,Ensemble Learning
State the features of Supervised Learning,2,Easy,ML,Supervised Learning
Analyze real-world applications of Supervised Learning,10,Hard,ML,Supervised Learning
What is Unsupervised Learning,2,Easy,ML,Unsupervised Learning
Compare different approaches in Unsupervised Learning,10,Hard,ML,Unsupervised Learning
Define Neural Networks,2,Easy,ML,Neural Networks
Discuss advantages and limitations of Neural Networks,10,Hard,ML,Neural Networks
List the applications of SVM,2,Easy,ML,SVM
Evaluate the performance of SVM,10,Hard,ML,SVM
Name the advantages of Classification,2,Easy,ML,Classification
Justify the need for Classification,10,Hard,ML,Classification
Name the advantages of Regression,2,Easy,ML,Regression
Discuss advantages and limitations of Regression,10,Hard,ML,Regression
Define KNN,2,Easy,ML,KNN
Explain challenges in KNN,10,Hard,ML,KNN
Name the advantages of Decision Trees,2,Easy,ML,Decision Trees
Discuss the architecture of Decision Trees,10,Hard,ML,Decision Trees
List the applications of Clustering,2,Easy,ML,Clustering
Describe the working of Clustering,10,Hard,ML,Clustering
List the applications of Classification,2,Easy,ML,Classification
Describe the working of Classification,10,Hard,ML,Classification
Name the advantages of SVM,2,Easy,ML,SVM
Discuss the architecture of SVM,10,Hard,ML,SVM
What is Supervised Learning,2,Easy,ML,Supervised Learning
Analyze the importance of Supervised Learning,10,Hard,ML,Supervised Learning
Define Underfitting,2,Easy,ML,Underfitting
Evaluate the performance of Underfitting,10,Hard,ML,Underfitting
What is Regression,2,Easy,ML,Regression
Evaluate the performance of Regression,10,Hard,ML,Regression
Name the advantages of Classification,2,Easy,ML,Classification
Justify the need for Classification,10,Hard,ML,Classification
Define Ensemble Learning,2,Easy,ML,Ensemble Learning
Justify the need for Ensemble Learning,10,Hard,ML,Ensemble Learning
List the applications of Cross Validation,2,Easy,ML,Cross Validation
Justify the need for Cross Validation,10,Hard,ML,Cross Validation
Name the advantages of Underfitting,2,Easy,ML,Underfitting
Justify the need for Underfitting,10,Hard,ML,Underfitting
Define KNN,2,Easy,ML,KNN
Discuss the architecture of KNN,10,Hard,ML,KNN
Name the advantages of Machine Learning,2,Easy,ML,Machine Learning
Analyze real-world applications of Machine Learning,10,Hard,ML,Machine Learning
What is Model Evaluation,2,Easy,ML,Model Evaluation
Justify the need for Model Evaluation,10,Hard,ML,Model Evaluation
State the features of Decision Trees,2,Easy,ML,Decision Trees
Analyze real-world applications of Decision Trees,10,Hard,ML,Decision Trees
Name the advantages of Naive Bayes,2,Easy,ML,Naive Bayes
Describe the working of Naive Bayes,10,Hard,ML,Naive Bayes
State the features of Feature Selection,2,Easy,ML,Feature Selection
Discuss advantages and limitations of Feature Selection,10,Hard,ML,Feature Selection
Define Feature Selection,2,Easy,ML,Feature Selection
Analyze the importance of Feature Selection,10,Hard,ML,Feature Selection
Name the advantages of Underfitting,2,Easy,ML,Underfitting
Discuss advantages and limitations of Underfitting,10,Hard,ML,Underfitting
What is Overfitting,2,Easy,ML,Overfitting
Explain Overfitting in detail,10,Hard,ML,Overfitting
List the applications of Classification,2,Easy,ML,Classification
Discuss the architecture of Classification,10,Hard,ML,Classification
What is Supervised Learning,2,Easy,ML,Supervised Learning
Analyze the importance of Supervised Learning,10,Hard,ML,Supervised Learning
State the features of Ensemble Learning,2,Easy,ML,Ensemble Learning
Discuss the architecture of Ensemble Learning,10,Hard,ML,Ensemble Learning
Define Machine Learning,2,Easy,ML,Machine Learning
Discuss the architecture of Machine Learning,10,Hard,ML,Machine Learning
State the features of Supervised Learning,2,Easy,ML,Supervised Learning
Discuss the architecture of Supervised Learning,10,Hard,ML,Supervised Learning
What is Classification,2,Easy,ML,Classification
Compare different approaches in Classification,10,Hard,ML,Classification
Define Underfitting,2,Easy,ML,Underfitting
Explain Underfitting in detail,10,Hard,ML,Underfitting
List the applications of Supervised Learning,2,Easy,ML,Supervised Learning
Justify the need for Supervised Learning,10,Hard,ML,Supervised Learning
Define KNN,2,Easy,ML,KNN
Justify the need for KNN,10,Hard,ML,KNN
What is Cross Validation,2,Easy,ML,Cross Validation
Discuss advantages and limitations of Cross Validation,10,Hard,ML,Cross Validation
Name the advantages of Supervised Learning,2,Easy,ML,Supervised Learning
Explain challenges in Supervised Learning,10,Hard,ML,Supervised Learning
Name the advantages of Ensemble Learning,2,Easy,ML,Ensemble Learning
Explain Ensemble Learning in detail,10,Hard,ML,Ensemble Learning
What is Model Evaluation,2,Easy,ML,Model Evaluation
Evaluate the performance of Model Evaluation,10,Hard,ML,Model Evaluation
List the applications of Deep Learning,2,Easy,ML,Deep Learning
Explain challenges in Deep Learning,10,Hard,ML,Deep Learning
List the applications of KNN,2,Easy,ML,KNN
Compare different approaches in KNN,10,Hard,ML,KNN
Name the advantages of Supervised Learning,2,Easy,ML,Supervised Learning
Discuss advantages and limitations of Supervised Learning,10,Hard,ML,Supervised Learning
Define Underfitting,2,Easy,ML,Underfitting
Explain Underfitting in detail,10,Hard,ML,Underfitting
State the features of Reinforcement Learning,2,Easy,ML,Reinforcement Learning
Discuss advantages and limitations of Reinforcement Learning,10,Hard,ML,Reinforcement Learning
Define Supervised Learning,2,Easy,ML,Supervised Learning
Describe the working of Supervised Learning,10,Hard,ML,Supervised Learning
What is KNN,2,Easy,ML,KNN
Evaluate the performance of KNN,10,Hard,ML,KNN
What is Overfitting,2,Easy,ML,Overfitting
Evaluate the performance of Overfitting,10,Hard,ML,Overfitting
List the applications of Model Evaluation,2,Easy,ML,Model Evaluation
Justify the need for Model Evaluation,10,Hard,ML,Model Evaluation
State the features of Decision Trees,2,Easy,ML,Decision Trees
Discuss the architecture of Decision Trees,10,Hard,ML,Decision Trees
List the applications of Regression,2,Easy,ML,Regression
Analyze the importance of Regression,10,Hard,ML,Regression
State the features of Machine Learning,2,Easy,ML,Machine Learning
Explain challenges in Machine Learning,10,Hard,ML,Machine Learning
State the features of Ensemble Learning,2,Easy,ML,Ensemble Learning
Discuss advantages and limitations of Ensemble Learning,10,Hard,ML,Ensemble Learning
Define Supervised Learning,2,Easy,ML,Supervised Learning
Compare different approaches in Supervised Learning,10,Hard,ML,Supervised Learning
Define Naive Bayes,2,Easy,ML,Naive Bayes
Explain challenges in Naive Bayes,10,Hard,ML,Naive Bayes
State the features of Unsupervised Learning,2,Easy,ML,Unsupervised Learning
Explain challenges in Unsupervised Learning,10,Hard,ML,Unsupervised Learning
State the features of KNN,2,Easy,ML,KNN
Explain KNN in detail,10,Hard,ML,KNN
State the features of Regression,2,Easy,ML,Regression
Analyze real-world applications of Regression,10,Hard,ML,Regression
What is Model Evaluation,2,Easy,ML,Model Evaluation
Compare different approaches in Model Evaluation,10,Hard,ML,Model Evaluation
List the applications of Feature Selection,2,Easy,ML,Feature Selection
Discuss advantages and limitations of Feature Selection,10,Hard,ML,Feature Selection
Name the advantages of Overfitting,2,Easy,ML,Overfitting
Analyze real-world applications of Overfitting,10,Hard,ML,Overfitting
State the features of Deep Learning,2,Easy,ML,Deep Learning
Discuss the architecture of Deep Learning,10,Hard,ML,Deep Learning
Name the advantages of Unsupervised Learning,2,Easy,ML,Unsupervised Learning
Explain challenges in Unsupervised Learning,10,Hard,ML,Unsupervised Learning
What is Ensemble Learning,2,Easy,ML,Ensemble Learning
Describe the working of Ensemble Learning,10,Hard,ML,Ensemble Learning
Define Naive Bayes,2,Easy,ML,Naive Bayes
Discuss advantages and limitations of Naive Bayes,10,Hard,ML,Naive Bayes
State the features of Model Evaluation,2,Easy,ML,Model Evaluation
Discuss advantages and limitations of Model Evaluation,10,Hard,ML,Model Evaluation
Define KNN,2,Easy,ML,KNN
Explain KNN in detail,10,Hard,ML,KNN
State the features of Regression,2,Easy,ML,Regression
Analyze the importance of Regression,10,Hard,ML,Regression
Define KNN,2,Easy,ML,KNN
Describe the working of KNN,10,Hard,ML,KNN
List the applications of Cross Validation,2,Easy,ML,Cross Validation
Justify the need for Cross Validation,10,Hard,ML,Cross Validation
What is Supervised Learning,2,Easy,ML,Supervised Learning
Compare different approaches in Supervised Learning,10,Hard,ML,Supervised Learning
What is Neural Networks,2,Easy,ML,Neural Networks
Evaluate the performance of Neural Networks,10,Hard,ML,Neural Networks
List the applications of KNN,2,Easy,ML,KNN
Discuss the architecture of KNN,10,Hard,ML,KNN
What is Machine Learning,2,Easy,ML,Machine Learning
Evaluate the performance of Machine Learning,10,Hard,ML,Machine Learning
List the applications of Naive Bayes,2,Easy,ML,Naive Bayes
Discuss the architecture of Naive Bayes,10,Hard,ML,Naive Bayes
State the features of Machine Learning,2,Easy,ML,Machine Learning
Discuss advantages and limitations of Machine Learning,10,Hard,ML,Machine Learning
List the applications of Reinforcement Learning,2,Easy,ML,Reinforcement Learning
Analyze real-world applications of Reinforcement Learning,10,Hard,ML,Reinforcement Learning
What is Random Forest,2,Easy,ML,Random Forest
Discuss advantages and limitations of Random Forest,10,Hard,ML,Random Forest
Define Feature Selection,2,Easy,ML,Feature Selection
Compare different approaches in Feature Selection,10,Hard,ML,Feature Selection
State the features of Overfitting,2,Easy,ML,Overfitting
Analyze the importance of Overfitting,10,Hard,ML,Overfitting
Name the advantages of Supervised Learning,2,Easy,ML,Supervised Learning
Explain challenges in Supervised Learning,10,Hard,ML,Supervised Learning
List the applications of SVM,2,Easy,ML,SVM
Justify the need for SVM,10,Hard,ML,SVM
Name the advantages of Classification,2,Easy,ML,Classification
Analyze the importance of Classification,10,Hard,ML,Classification
Name the advantages of Decision Trees,2,Easy,ML,Decision Trees
Describe the working of Decision Trees,10,Hard,ML,Decision Trees
What is Naive Bayes,2,Easy,ML,Naive Bayes
Explain Naive Bayes in detail,10,Hard,ML,Naive Bayes
Define Clustering,2,Easy,ML,Clustering
Explain Clustering in detail,10,Hard,ML,Clustering
What is Neural Networks,2,Easy,ML,Neural Networks
Analyze real-world applications of Neural Networks,10,Hard,ML,Neural Networks
Name the advantages of Deep Learning,2,Easy,ML,Deep Learning
Justify the need for Deep Learning,10,Hard,ML,Deep Learning
State the features of SVM,2,Easy,ML,SVM
Describe the working of SVM,10,Hard,ML,SVM
List the applications of SVM,2,Easy,ML,SVM
Discuss advantages and limitations of SVM,10,Hard,ML,SVM
State the features of Unsupervised Learning,2,Easy,ML,Unsupervised Learning
Analyze real-world applications of Unsupervised Learning,10,Hard,ML,Unsupervised Learning
List the applications of KNN,2,Easy,ML,KNN
Discuss advantages and limitations of KNN,10,Hard,ML,KNN
State the features of Feature Selection,2,Easy,ML,Feature Selection
Analyze real-world applications of Feature Selection,10,Hard,ML,Feature Selection
State the features of Ensemble Learning,2,Easy,ML,Ensemble Learning
Discuss advantages and limitations of Ensemble Learning,10,Hard,ML,Ensemble Learning
Define Cross Validation,2,Easy,ML,Cross Validation
Explain Cross Validation in detail,10,Hard,ML,Cross Validation
Define Unsupervised Learning,2,Easy,ML,Unsupervised Learning
Explain challenges in Unsupervised Learning,10,Hard,ML,Unsupervised Learning
Define Feature Selection,2,Easy,ML,Feature Selection
Compare different approaches in Feature Selection,10,Hard,ML,Feature Selection
Name the advantages of SVM,2,Easy,ML,SVM
Describe the working of SVM,10,Hard,ML,SVM
What is SVM,2,Easy,ML,SVM
Evaluate the performance of SVM,10,Hard,ML,SVM
State the features of Unsupervised Learning,2,Easy,ML,Unsupervised Learning
Discuss the architecture of Unsupervised Learning,10,Hard,ML,Unsupervised Learning
Name the advantages of Supervised Learning,2,Easy,ML,Supervised Learning
Analyze real-world applications of Supervised Learning,10,Hard,ML,Supervised Learning
State the features of Unsupervised Learning,2,Easy,ML,Unsupervised Learning
Evaluate the performance of Unsupervised Learning,10,Hard,ML,Unsupervised Learning
What is Decision Trees,2,Easy,ML,Decision Trees
Discuss advantages and limitations of Decision Trees,10,Hard,ML,Decision Trees
What is Random Forest,2,Easy,ML,Random Forest
Compare different approaches in Random Forest,10,Hard,ML,Random Forest
What is Supervised Learning,2,Easy,ML,Supervised Learning
Explain Supervised Learning in detail,10,Hard,ML,Supervised Learning
State the features of SVM,2,Easy,ML,SVM
Explain SVM in detail,10,Hard,ML,SVM
What is Underfitting,2,Easy,ML,Underfitting
Discuss advantages and limitations of Underfitting,10,Hard,ML,Underfitting
Define Deep Learning,2,Easy,ML,Deep Learning
Justify the need for Deep Learning,10,Hard,ML,Deep Learning
State the features of Feature Selection,2,Easy,ML,Feature Selection
Evaluate the performance of Feature Selection,10,Hard,ML,Feature Selection
What is Clustering,2,Easy,ML,Clustering
Analyze the importance of Clustering,10,Hard,ML,Clustering
Name the advantages of Feature Selection,2,Easy,ML,Feature Selection
Discuss the architecture of Feature Selection,10,Hard,ML,Feature Selection
Define Feature Selection,2,Easy,ML,Feature Selection
Describe the working of Feature Selection,10,Hard,ML,Feature Selection
List the applications of Naive Bayes,2,Easy,ML,Naive Bayes
Justify the need for Naive Bayes,10,Hard,ML,Naive Bayes
List the applications of Unsupervised Learning,2,Easy,ML,Unsupervised Learning
Explain challenges in Unsupervised Learning,10,Hard,ML,Unsupervised Learning
Name the advantages of Deep Learning,2,Easy,ML,Deep Learning
Compare different approaches in Deep Learning,10,Hard,ML,Deep Learning
Define Regression,2,Easy,ML,Regression
Discuss advantages and limitations of Regression,10,Hard,ML,Regression
What is Unsupervised Learning,2,Easy,ML,Unsupervised Learning
Compare different approaches in Unsupervised Learning,10,Hard,ML,Unsupervised Learning
State the features of Model Evaluation,2,Easy,ML,Model Evaluation
Discuss the architecture of Model Evaluation,10,Hard,ML,Model Evaluation
