Question,Marks,Difficulty,Subject,Topic
Differentiate circuit and packet switching,2,Medium,CN,Switching Techniques
Explain transport layer functions,2,Medium,CN,Transport Layer
What is multiplexing?,2,Medium,CN,Multiplexing
Explain wireless communication basics,2,Medium,CN,Wireless Networks
Explain sliding window protocol,2,Hard,CN,Flow Control
Differentiate IPv4 and IPv6 in detail,2,Hard,CN,IP Addressing
Explain routing algorithms,2,Hard,CN,Routing
Describe transport layer functions,2,Hard,CN,Transport Layer
Explain congestion avoidance techniques,2,Hard,CN,Congestion Control
Describe cryptography techniques,2,Hard,CN,Network Security
Explain socket programming concepts,2,Hard,CN,Socket Programming
Differentiate circuit and packet switching in detail,2,Hard,CN,Switching Techniques
Explain firewall concepts,2,Hard,CN,Network Security
Describe network virtualization,2,Hard,CN,Network Virtualization
Explain leaky bucket algorithm,2,Hard,CN,Congestion Control
Describe subnet masking process,2,Hard,CN,IP Addressing
Explain distance vector routing,2,Hard,CN,Routing
Describe link state routing algorithm,2,Hard,CN,Routing
Explain network layer services,2,Hard,CN,Network Layer
Describe error correction techniques,2,Hard,CN,Error Control
Explain HTTPS working mechanism,2,Hard,CN,Network Security
Describe VPN concepts,2,Hard,CN,Network Security
Explain advanced network security mechanisms,2,Hard,CN,Network Security
Describe wireless network architecture,2,Hard,CN,Wireless Networks
